Round,NumCities,NN_Time,BF_Time,HK_Time,NN_Distance,BF_Distance,HK_Distance,Human_Distance
1,5,2.46,581.21,46.5,403.55,403.55,403.55,403.55
2,5,1.0,624.03,55.73,478.32,391.74,391.74,478.32
3,5,1.18,596.31,53.83,452.43,400.51,400.51,452.43
4,5,1.46,472.26,43.91,425.77,364.42,364.42,425.77
5,5,0.97,508.4,53.91,408.23,408.23,408.23,408.23
6,5,0.0,532.16,31.0,417.21,389.59,389.59,417.21
7,5,2.0,523.79,52.83,464.07,413.12,413.12,464.07
8,5,1.0,678.96,53.04,475.22,388.91,388.91,475.22
9,5,1.41,608.91,51.11,444.54,386.54,386.54,444.54
10,5,3.0,486.57,57.45,437.79,370.08,370.08,437.79
